eventId,tileId,flooded,elevationM,slopeDegrees,flowAccumulation,topographicWetnessIndex,curvature,relativeElevationZ,landCoverClass,imperviousPct,distanceToWaterM,femaSfha
DFO_2606_From_20050105_to_20050201,9/142/186,1,202.8011932373047,86.22481536865234,2.0,-1.6203759004724563,-2.9342247671593213e-06,-0.8818118281199886,0.0,127.0,18.448425444131768,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,209.54913330078125,84.65171813964844,9.0,-0.06689201052245963,2.6326329134462867e-06,-0.8112456976541943,0.0,127.0,431.85637488520285,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,181.06427001953125,86.7972640991211,1.0,-2.1905918650540723,2.6260784125042846e-07,-1.1091242442471831,0.0,127.0,8.58810945245933,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,163.1262664794922,78.72367858886719,3.0,-0.2281905130356474,-1.2481996236601844e-06,-1.2967097127301566,0.0,127.0,919.6402258615519,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,215.98614501953125,85.09443664550781,6.0,-0.5103573145326571,-3.6360661397338845e-06,-0.7439310794918724,0.0,127.0,713.2072484770888,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,224.9623565673828,86.98893737792969,3.0,-1.5592431491865613,1.500860889791511e-06,-0.6500629494824419,0.0,127.0,131.02312845834396,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,165.62359619140625,75.90216827392578,66.0,2.8204489711871217,2.377861164859496e-06,-1.270594054824292,0.0,127.0,120.47713893476008,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,296.908935546875,81.12193298339844,1.0,-1.1650080932524,2.1704950086132158e-06,0.10231357299347528,0.0,127.0,60.311337200327316,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,232.61105346679688,85.68084716796875,1.0,-1.8908779380782352,-7.010283979980159e-07,-0.5700772148404402,0.0,127.0,187.8927402764174,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,302.16973876953125,83.9975357055664,1.0,-1.560292994795339,-4.893793175142491e-07,0.15732806972472965,0.0,127.0,63.36160301095847,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,196.72805786132812,82.67276763916016,1.0,-1.359294496140006,-5.606024387816433e-06,-0.9453212338417695,0.0,127.0,655.1803235796469,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,265.7532653808594,78.5779800415039,1.0,-0.9081837708556205,1.6614167179795913e-06,-0.22349475740115177,0.0,127.0,386.8249619400211,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,205.18710327148438,82.79064178466797,1.0,-1.3756670279618703,-1.7044862943293992e-06,-0.8568613340184109,0.0,127.0,328.4285142995934,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,247.24497985839844,87.68550872802734,1.0,-2.5157508236058095,-3.621775022111251e-06,-0.41704391145265707,0.0,127.0,29.42045957876135,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,195.98439025878906,85.5538330078125,1.0,-1.8618037753059231,-9.284556767852337e-07,-0.9530980878994978,0.0,127.0,18.959101355286975,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,236.1556396484375,85.37460327148438,2.0,-1.416686019160813,-6.95547441864619e-09,-0.5330099426673028,0.0,127.0,96.18297154728174,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,185.5225372314453,84.39447784423828,17.0,0.5681132781767634,2.344873792026192e-06,-1.0625022140027094,0.0,127.0,172.53426989073253,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,177.865234375,85.20146179199219,4.0,-0.8689745518095879,1.6376759504055372e-06,-1.1425779448629552,0.0,127.0,277.60623750666065,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,261.5611877441406,86.93112182617188,4.0,-1.3170565015656848,2.6289212655683514e-06,-0.2673331280228118,0.0,127.0,53.53743039834244,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,141.11109924316406,86.14703369140625,1.0,-2.0054001686214225,-1.4086509736443986e-07,-1.5269318470128117,0.0,127.0,85.28741453760524,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,137.58868408203125,85.31483459472656,1.0,-1.8092653257147862,-3.6372177874000045e-06,-1.5637672672265368,0.0,127.0,394.1924342469865,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,315.1213073730469,85.64414978027344,1.0,-1.8823927186852676,-9.977490663004573e-06,0.2927682294201467,0.0,127.0,533.4716387430449,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,140.82382202148438,83.68977355957031,2.0,-1.1044939631251476,-1.6725911109460867e-06,-1.5299360292838757,0.0,127.0,1226.3573323628864,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,169.14503479003906,79.85792541503906,1.0,-1.0296526930491936,-2.7079690880782437e-06,-1.2337688469473889,0.0,127.0,1684.1966752919998,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,266.2691955566406,87.13909149169922,4.0,-1.3873170351845334,4.953680218022782e-06,-0.21809945220387017,0.0,127.0,30.312292192325106,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,120.49142456054688,86.79244232177734,2.0,-1.7836199897401699,5.38980145847745e-07,-1.742560711544568,0.0,127.0,164.31825398140813,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,218.6059112548828,85.96442413330078,8.0,-0.45490357407544396,-3.834479684883263e-07,-0.7165350498569475,0.0,127.0,324.96205703701236,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,150.29556274414062,84.7278823852539,1.0,-1.690742078116193,-3.7515551412070636e-06,-1.4308859361760862,0.0,127.0,203.52613541916745,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,279.10137939453125,86.6747055053711,6.0,-0.9002154719892834,1.1200454537174664e-06,-0.08390775068494462,0.0,127.0,43.71436745175109,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,139.1190643310547,85.50006103515625,3.0,-1.1565966494725604,1.8750657773125567e-06,-1.547763418452097,0.0,127.0,248.54638333904404,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,87.48255920410156,87.28767395019531,139.0,1.891496161663175,6.325449248834047e-07,-2.087748706304363,0.0,127.0,313.2316685615233,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,271.7132568359375,88.16131591796875,3.0,-2.0528598915640988,-1.3596499002233031e-06,-0.16116854664085925,0.0,127.0,181.93528590804368,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,207.65289306640625,83.79032135009766,1.0,-1.5261321591901884,-3.7231759506539674e-06,-0.8310755026783448,0.0,127.0,676.7879919980408,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,173.15943908691406,82.95387268066406,3.0,-0.7056302629305352,1.3608532754005864e-06,-1.1917884833562844,0.0,127.0,647.8515757554416,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,194.67974853515625,84.11223602294922,1.0,-1.5797055731403282,2.266391447847127e-06,-0.9667412911904234,0.0,127.0,200.17638595468765,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,190.6790771484375,86.1234130859375,1.0,-1.9992744015689363,6.862061923129659e-07,-1.0085780437949683,0.0,127.0,78.69891776841905,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,242.77102661132812,88.1478500366211,6.0,-1.485942671116728,3.1989844728741446e-07,-0.46382997735733444,0.0,127.0,238.94425655411823,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,144.08518981933594,84.68510437011719,74.0,1.9417186587714466,6.354125048346759e-07,-1.495830494356886,0.0,127.0,413.7813694067053,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,233.14854431152344,84.2940444946289,7.0,-0.22495960453793218,-1.7021827716234839e-06,-0.56445644039426,0.0,127.0,590.3281184666283,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,225.32154846191406,86.86674499511719,4.0,-1.296265449331391,9.41379994401359e-07,-0.6463067243450941,0.0,127.0,65.2683734945572,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,137.33499145507812,88.2879638671875,2.0,-2.4119306920116776,6.590623797819717e-06,-1.5664202408515813,0.0,127.0,397.05054803181156,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,319.7171936035156,79.81534576416016,1.0,-1.0253816542567753,-1.0732534065027721e-05,0.3408294013177106,0.0,127.0,963.0232278207322,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,172.41261291503906,80.41265869140625,1.0,-1.0869291084659083,-3.7661943679268006e-06,-1.1995983679409217,0.0,127.0,273.0175151367075,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,196.857177734375,84.21820831298828,2.0,-1.1925102842811923,-6.937500529602403e-07,-0.9439709714325835,0.0,127.0,392.3211733968324,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,250.96969604492188,84.91485595703125,1.0,-1.7270158658917774,-1.132034071815724e-06,-0.3780929418391461,0.0,127.0,102.82686679560486,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,225.04383850097656,85.63679504394531,1.0,-1.880700088427714,-3.4456406865501776e-06,-0.649210857628855,0.0,127.0,170.04268527203078,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,167.4813995361328,84.72551727294922,107.0,2.298692310703929,4.264462859282503e-06,-1.2511662009947455,0.0,127.0,660.8988208088089,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,192.84559631347656,84.60039520263672,1.0,-1.666732464611853,-3.3705364330671728e-06,-0.9859218149875617,0.0,127.0,674.1901639534449,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,291.00238037109375,81.78021240234375,1.0,-1.2430852008036757,-1.8783316590997856e-07,0.04054616853866247,0.0,127.0,367.2076295459836,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,153.0116424560547,84.37494659423828,6.0,-0.3728505734258903,3.062030373257585e-06,-1.40248271482209,0.0,127.0,182.43748033037227,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,231.77215576171875,84.52511596679688,16.0,0.48724986503163326,1.0844827556866221e-05,-0.5788499313060781,0.0,127.0,12.904280738770336,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,186.7064666748047,82.8945541381836,4.0,-0.47402872555929526,-1.2896796306449687e-06,-1.050121351283643,0.0,127.0,725.46704497458,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,184.00997924804688,84.3656005859375,26.0,0.9787449286066056,2.9546747555286856e-06,-1.0783196876301475,0.0,127.0,276.6906852585119,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,240.92276000976562,83.74974822998047,6.0,-0.2668113114381719,-1.954446815943811e-06,-0.48315810133510345,0.0,127.0,10.097819728223476,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,217.2743682861328,87.69232940673828,7.0,-1.132407931851943,6.62837646814296e-06,-0.730459571113767,0.0,127.0,336.84336805996054,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,240.9164276123047,86.08596801757812,4.0,-1.0733480806345364,5.65898652382657e-08,-0.48322432195668374,0.0,127.0,91.69545862956996,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,230.08233642578125,85.67090606689453,16.0,0.2514935267237421,1.199677171825897e-06,-0.596521103634475,0.0,127.0,46.13415464475625,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,123.10782623291016,86.46077728271484,5.0,-0.9919052913188744,8.810547114990186e-06,-1.7151998666013502,0.0,127.0,0.08184461049201629,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,197.4221954345703,86.53213500976562,1.0,-2.110923175527282,3.2382584436163597e-07,-0.9380623367422326,0.0,127.0,391.4471793056727,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,228.60012817382812,86.88350677490234,1.0,-2.2179277324611433,-4.109803739993367e-06,-0.6120211969816162,0.0,127.0,146.5036749500324,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,170.3888702392578,86.41521453857422,104.0,1.8831125251441736,5.90764057051274e-06,-1.2207615211913967,0.0,127.0,772.9736096642329,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,190.7249298095703,85.66228485107422,2.0,-1.4811123238580028,-8.940320412875735e-07,-1.0080985426676219,0.0,127.0,514.1497351306695,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,243.4143829345703,82.57857513427734,1.0,-1.346395479601114,-3.1761442187416833e-06,-0.45710212177254256,0.0,127.0,61.36463412454981,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,176.75173950195312,84.31084442138672,36.0,1.3035511031860716,5.051271273259772e-06,-1.1542222427887339,0.0,127.0,422.04262888209126,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,120.63655853271484,86.39017486572266,2.0,-1.6652609621332717,-8.378897291549947e-07,-1.7410429827682772,0.0,127.0,1343.0164972097664,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,99.86991119384766,85.91651916503906,22.0,0.49519848990837523,-1.2945555738497205e-07,-1.9582088039917471,0.0,127.0,405.64897546216895,False
DFO_2606_From_20050105_to_20050201,9/142/186,0,165.19656372070312,37.694129943847656,67.0,4.4644825830650054,1.7533376421852154e-06,-1.2750597182352443,0.0,127.0,340.36852168191507,False
