cellId,flooded,permWater,clearPerc,eventId,dfoMainCause,dfoSeverity,elevationM,slopeDegrees,flowAccumulation,topographicWetnessIndex,landCoverClass,imperviousPct,distanceToWaterM,distanceToRoadM,femaSfha,relativeElevationZ
cell-021-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.7463964223861694,2.083076238632202,1.0,3.764194497475658,22,42,0.0,0.0,True,-0.77
cell-021-017,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.33026647567749,3.8074944019317627,3.0,3.956088493094547,21,3,8.661237151310582,0.0,True,-0.539
cell-021-018,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.615693092346191,5.451276779174805,2.0,3.3483122903390523,21,5,19.456156568601727,0.0,True,-0.456
cell-021-019,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.9878237247467041,5.913671016693115,21.0,5.266280625318442,21,17,0.0,0.0,True,-0.819
cell-021-020,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-1.5004668235778809,0.2833292782306671,4.0,5.812811756818531,11,0,0.0,16.03098308621503,True,-0.979
cell-021-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.277263641357422,3.8126626014709473,3.0,3.954905685145992,22,35,0.0,5.165436314418912,True,-0.736
cell-021-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-1.398983359336853,1.4032524824142456,14.0,6.074954166360105,11,0,0.0,35.51690190755493,True,-0.972
cell-021-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.8256173133850098,1.4299014806747437,11.0,5.8384095920212875,21,7,11.096390557527345,0.0,True,-0.636
cell-021-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.152413845062256,1.243044376373291,1.0,4.144629255645517,21,3,81.9652804111386,0.0,False,-0.422
cell-021-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.491910457611084,2.7361066341400146,1.0,3.5440798118885914,21,5,174.86474745895248,0.0,False,-0.4
cell-022-012,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.5432467460632324,0.6808344125747681,4.0,5.431466613157553,21,17,94.51346928418336,0.0,True,-0.718
cell-022-013,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.6519086360931396,1.3418396711349487,1.0,4.091634126373274,21,10,80.84285598577165,0.0,True,-0.711
cell-022-014,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.3019306659698486,2.5403006076812744,3.0,4.298316437595928,22,44,4.537787618581917,0.0,True,-0.67
cell-022-015,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-0.23754189908504486,2.6655240058898926,2.0,3.971140462464256,23,59,0.0,4.813314335187897,True,-0.898
cell-022-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.13279622793197632,2.0751705169677734,4.0,4.683469101545252,21,6,0.0,18.303440659043428,True,-0.874
cell-022-017,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.136303186416626,1.621271014213562,2.0,4.360811361881644,21,5,7.212120651151054,0.0,True,-0.745
cell-022-018,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.3017008304595947,4.349478244781494,3.0,3.8390180436408583,22,20,36.658141342923045,0.0,True,-0.67
cell-022-019,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.8192033767700195,1.8864545822143555,1.0,3.8411745361604988,21,9,0.0,0.0,True,-0.572
cell-022-020,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-0.7601028680801392,7.948057651519775,3.0,3.285974421045502,95,0,0.0,0.0,True,-0.931
cell-022-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.155679225921631,1.7653746604919434,2.0,4.297162220318961,22,30,0.0,0.0,True,-0.679
cell-022-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.18923473358154297,6.949127197265625,39.0,5.714716777638397,23,67,0.0,0.0,True,-0.87
cell-022-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.81739616394043,1.8728715181350708,8.0,5.3507943691346,21,18,24.40919671869923,0.0,True,-0.572
cell-022-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.423330307006836,0.39194729924201965,1.0,4.777093373021122,21,10,123.1021603199015,0.0,False,-0.404
cell-022-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,8.26363468170166,1.0205987691879272,1.0,4.2753380263594245,22,49,176.94557259016435,0.0,False,-0.35
cell-023-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.5611236095428467,0.2370835840702057,2.0,5.357507545970421,21,17,0.0,0.0,True,-0.717
cell-023-012,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.753382444381714,2.2350525856018066,2.0,4.1139591009096055,23,66,0.0,0.0,True,-0.705
cell-023-013,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.1250669956207275,0.10235966742038727,1.0,5.133946387233991,23,53,0.0,0.0,True,-0.681
cell-023-014,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.336134910583496,1.5739513635635376,1.0,3.9771604941724186,23,56,0.0,0.0,True,-0.667
cell-023-015,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.366405725479126,1.8372031450271606,2.0,4.266884416247988,22,21,0.0,8.098521310981464,True,-0.794
cell-023-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.436037540435791,3.7743611335754395,2.0,3.6760226474410023,21,5,1.3014974926910945,0.0,True,-0.725
cell-023-017,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.2993077039718628,0.3730752766132355,1.0,4.796846261343273,21,7,4.131182726723491,0.0,True,-0.863
cell-023-018,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-0.693986713886261,1.6094108819961548,6.0,5.213532193671511,22,21,0.0,0.0,True,-0.927
cell-023-019,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.9289434552192688,8.143366813659668,1.0,2.5698543797839393,22,21,0.0,0.0,True,-0.822
cell-023-020,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.0421218872070312,12.648481369018555,5.0,3.242421276947237,23,58,0.0,0.0,True,-0.686
